Vrikshasana,"(0.478100061416626, 0.3208377957344055)","(0.48723140358924866, 0.13819900155067444)","(0.45992153882980347, 0.13613766431808472)","(0.5154404044151306, 0.17055505514144897)","(0.4452028274536133, 0.16741561889648438)","(0.5947980284690857, 0.2695406675338745)","(0.3637846112251282, 0.26568135619163513)","(0.5761637687683105, 0.3816112279891968)","(0.37095198035240173, 0.37863072752952576)","(0.5398757457733154, 0.5901650190353394)","(0.3985518515110016, 0.5804990530014038)","(0.5132892727851868, 0.7394372820854187)","(0.1705854833126068, 0.6719892621040344)","(0.4630421996116638, 0.8529074192047119)","(0.44748276472091675, 0.6534481644630432)","(0.4715283215045929, 0.9188426733016968)","(0.5063270330429077, 0.7208110690116882)","(0.47355787456035614, 0.38012097775936127)",0
Vrikshasana,"(0.5095930099487305, 0.32101738452911377)","(0.5439354777336121, 0.13964985311031342)","(0.5067101716995239, 0.13326609134674072)","(0.557977020740509, 0.17168037593364716)","(0.4762004315853119, 0.166325643658638)","(0.6325257420539856, 0.2678014636039734)","(0.4153832495212555, 0.2646885812282562)","(0.625288724899292, 0.3813757002353668)","(0.4232143461704254, 0.3792784810066223)","(0.5979940295219421, 0.5835554599761963)","(0.4656490683555603, 0.5833678245544434)","(0.8166605234146118, 0.6811977624893188)","(0.4772909879684448, 0.719214916229248)","(0.557801365852356, 0.6610791087150574)","(0.5358546376228333, 0.8412151336669922)","(0.49306464195251465, 0.7140190005302429)","(0.5315479636192322, 0.9071906805038452)","(0.5242515355348587, 0.38032709062099457)",1
Hasta Uttanasan,"(0.29728567600250244, 0.2795267701148987)","(0.452735960483551, 0.8908093571662903)","(0.58819979429245, 0.5268745422363281)","(0.439042866230011, 0.8445072174072266)","(0.61020427942276, 0.5042541027069092)","(0.40218228101730347, 0.572177529335022)","(0.5853266716003418, 0.3827880620956421)","(0.3664529025554657, 0.2667621970176697)","(0.35772407054901123, 0.17953240871429443)","(0.6651210784912109, 0.4650900363922119)","(0.6753042340278625, 0.4467456340789795)","(0.6586382389068604, 0.5416947603225708)","(0.4683043360710144, 0.4897376000881195)","(0.6688192486763, 0.7091131210327148)","(0.6932008862495422, 0.6838881969451904)","(0.6545084714889526, 0.8102186918258667)","(0.7421318888664246, 0.7823162078857422)","(0.36208848655223846, 0.22314730286598206)",0
Hasta Uttanasan,"(0.29728567600250244, 0.2795267701148987)","(0.452735960483551, 0.8908093571662903)","(0.58819979429245, 0.5268745422363281)","(0.439042866230011, 0.8445072174072266)","(0.61020427942276, 0.5042541027069092)","(0.40218228101730347, 0.572177529335022)","(0.5853266716003418, 0.3827880620956421)","(0.3664529025554657, 0.2667621970176697)","(0.35772407054901123, 0.17953240871429443)","(0.6651210784912109, 0.4650900363922119)","(0.6753042340278625, 0.4467456340789795)","(0.6586382389068604, 0.5416947603225708)","(0.4683043360710144, 0.4897376000881195)","(0.6688192486763, 0.7091131210327148)","(0.6932008862495422, 0.6838881969451904)","(0.6545084714889526, 0.8102186918258667)","(0.7421318888664246, 0.7823162078857422)","(0.36208848655223846, 0.22314730286598206)",1
Panchim Uttanasan,"(0.19036360085010529, 0.2339625358581543)","(0.12830066680908203, 0.3934547007083893)","(0.11134403944015503, 0.38357290625572205)","(0.2350408434867859, 0.4327056407928467)","(0.19934439659118652, 0.40976354479789734)","(0.32941678166389465, 0.46680957078933716)","(0.38978028297424316, 0.47800350189208984)","(0.3165501356124878, 0.4068906605243683)","(0.3736315667629242, 0.3613443076610565)","(0.7461712956428528, 0.7964463233947754)","(0.7597507834434509, 0.7533211708068848)","(0.5379349589347839, 0.6868815422058105)","(0.5475351810455322, 0.696929931640625)","(0.20523887872695923, 0.5214404463768005)","(0.24412842094898224, 0.5137130618095398)","(-0.06610776484012604, 0.3715757429599762)","(0.022144505754113197, 0.38597846031188965)","(0.345090851187706, 0.3841174840927124)",0
Panchim Uttanasan,"(0.12013211846351624, 0.24108178913593292)","(0.6543582677841187, 0.14252525568008423)","(0.14680199325084686, 0.007742950692772865)","(0.5981031060218811, 0.2062424123287201)","(0.18275417387485504, 0.0871165469288826)","(0.35042446851730347, 0.42892807722091675)","(0.22704797983169556, 0.3750511109828949)","(0.17185652256011963, 0.31306833028793335)","(0.2420327365398407, 0.3591012954711914)","(0.7035762667655945, 0.652845025062561)","(0.7200576066970825, 0.7520393133163452)","(0.5921828746795654, 0.692363440990448)","(0.5487675666809082, 0.37307602167129517)","(0.5767474174499512, 0.5295186638832092)","(0.5874865651130676, 0.49296900629997253)","(0.6663062572479248, 0.5113773345947266)","(0.7245333194732666, 0.5081302523612976)","(0.20694462954998016, 0.3360848128795624)",1
Vajrasana,"(0.4852772653102875, 0.2112666368484497)","(0.5721832513809204, 0.6334562301635742)","(0.4001677632331848, 0.6386464834213257)","(0.6038329601287842, 0.5992994904518127)","(0.3655397593975067, 0.6019482612609863)","(0.7005154490470886, 0.49757975339889526)","(0.2813360393047333, 0.49553245306015015)","(0.6648110151290894, 0.345611035823822)","(0.31360697746276855, 0.3440747857093811)","(0.5815221667289734, 0.583098828792572)","(0.3752198815345764, 0.5818967819213867)","(0.6012755632400513, 0.757254958152771)","(0.33772408962249756, 0.7541893720626831)","(0.5686444044113159, 0.6249290704727173)","(0.3969762921333313, 0.6260820627212524)","(0.5634250640869141, 0.6436123847961426)","(0.40896841883659363, 0.6543281078338623)","(0.48920899629592896, 0.34484291076660156)",0
Vajrasana,"(0.4852772653102875, 0.2112666368484497)","(0.5721832513809204, 0.6334562301635742)","(0.4001677632331848, 0.6386464834213257)","(0.6038329601287842, 0.5992994904518127)","(0.3655397593975067, 0.6019482612609863)","(0.7005154490470886, 0.49757975339889526)","(0.2813360393047333, 0.49553245306015015)","(0.6648110151290894, 0.345611035823822)","(0.31360697746276855, 0.3440747857093811)","(0.5815221667289734, 0.583098828792572)","(0.3752198815345764, 0.5818967819213867)","(0.6012755632400513, 0.757254958152771)","(0.33772408962249756, 0.7541893720626831)","(0.5686444044113159, 0.6249290704727173)","(0.3969762921333313, 0.6260820627212524)","(0.5634250640869141, 0.6436123847961426)","(0.40896841883659363, 0.6543281078338623)","(0.48920899629592896, 0.34484291076660156)",1
Taadasana,"(0.5101299285888672, 0.30026060342788696)","(0.5503914952278137, 0.14827612042427063)","(0.42894062399864197, 0.14892850816249847)","(0.5936219692230225, 0.16753152012825012)","(0.40506476163864136, 0.1692812442779541)","(0.6241729855537415, 0.26737040281295776)","(0.3768940269947052, 0.26866787672042847)","(0.6162834167480469, 0.34989553689956665)","(0.4138697385787964, 0.35608944296836853)","(0.5867382287979126, 0.5744551420211792)","(0.4706890881061554, 0.5735794305801392)","(0.5967076420783997, 0.715233564376831)","(0.47011518478393555, 0.7122642397880554)","(0.5778077244758606, 0.8156973123550415)","(0.4898354411125183, 0.8119505643844604)","(0.5696080327033997, 0.877996563911438)","(0.49809664487838745, 0.8758203387260437)","(0.5150765776634216, 0.3529924899339676)",0
Taadasana,"(0.5078698396682739, 0.3130863904953003)","(0.5389522910118103, 0.14008305966854095)","(0.4396357238292694, 0.1439991593360901)","(0.5770730972290039, 0.1564566195011139)","(0.4048781394958496, 0.1675548553466797)","(0.605938732624054, 0.2595711052417755)","(0.37897753715515137, 0.2716938853263855)","(0.5931711196899414, 0.3544231355190277)","(0.40123966336250305, 0.3616689443588257)","(0.562588095664978, 0.5697535872459412)","(0.4424799978733063, 0.569041907787323)","(0.5436270833015442, 0.702989935874939)","(0.4261048138141632, 0.708414614200592)","(0.5264256596565247, 0.8168331384658813)","(0.4886802136898041, 0.8137014508247375)","(0.5130547285079956, 0.8855826258659363)","(0.4787328839302063, 0.8835772275924683)","(0.49720539152622223, 0.3580460399389267)",1
